stage,amount,level_dbfs,freq_hz,factor,worst_alias_dbc,worst_alias_hz
IRON_HYST,0.5,-3,15000,4,-137.225,3000
IRON_HYST,0.5,-3,15000,8,-139.603,9000
IRON_HYST,1,-12,1000,1,-128.424,988.037
IRON_HYST,1,-12,1000,2,-139.112,976.318
IRON_HYST,1,-12,1000,4,-153.475,1046.63
IRON_HYST,1,-12,1000,8,-159.408,1004.88
IRON_HYST,1,-12,5000,1,-120.412,2997.8
IRON_HYST,1,-12,5000,2,-129.258,995.361
IRON_HYST,1,-12,5000,4,-151.527,6990.97
IRON_HYST,1,-12,5000,8,-148.362,1018.8
IRON_HYST,1,-12,10000,1,-112.113,1998.78
IRON_HYST,1,-12,10000,2,-132.462,6002.2
IRON_HYST,1,-12,10000,4,-139.15,2004.64
IRON_HYST,1,-12,10000,8,-159.501,9993.9
IRON_HYST,1,-12,15000,1,-125.497,3000
IRON_HYST,1,-12,15000,2,-133.93,3000
IRON_HYST,1,-12,15000,4,-138.139,3000
IRON_HYST,1,-12,15000,8,-145.511,3000
IRON_HYST,1,-3,1000,1,-121.077,1011.47
IRON_HYST,1,-3,1000,2,-136.938,976.318
IRON_HYST,1,-3,1000,4,-147.081,952.881
IRON_HYST,1,-3,1000,8,-156.726,906.006
IRON_HYST,1,-3,5000,1,-110.972,2997.8
IRON_HYST,1,-3,5000,2,-133.629,10995.8
IRON_HYST,1,-3,5000,4,-140.018,3009.52
IRON_HYST,1,-3,5000,8,-142.32,1018.8
IRON_HYST,1,-3,10000,1,-103.123,1998.78
IRON_HYST,1,-3,10000,2,-123.204,6002.2
IRON_HYST,1,-3,10000,4,-133.921,2004.64
IRON_HYST,1,-3,10000,8,-154.575,1981.2
IRON_HYST,1,-3,15000,1,-115.942,3000
IRON_HYST,1,-3,15000,2,-126.778,9000
IRON_HYST,1,-3,15000,4,-126.879,3000
IRON_HYST,1,-3,15000,8,-137.428,3000
