stage,freq_hz,amount,level_dbfs,thd_percent,h2_dbc,h3_dbc,h4_dbc,h5_dbc
IRON,1000,0.75,-6,0.00188289,-181.335,-94.9012,-183.004,-105.658
IRON,1000,0.75,0,0.00466261,-186.016,-87.3111,-191.003,-96.1859
IRON,1000,1,-40,7.18554e-06,-183.572,-142.959,-180.513,-169.397
IRON,1000,1,-30,7.33334e-05,-186.673,-122.694,-194.718,-165.877
IRON,1000,1,-24,0.000273205,-182.077,-111.272,-191.594,-144.26
IRON,1000,1,-18,0.000870071,-183.762,-101.236,-182.472,-123.301
IRON,1000,1,-12,0.00210759,-185.265,-93.7159,-180.383,-107.347
IRON,1000,1,-6,0.00481041,-182.375,-86.8162,-183.066,-96.9795
IRON,1000,1,0,0.0107787,-182.552,-80.0975,-194.564,-88.6021
IRON_HYST,50,0.25,-40,0.00940886,-170.08,-80.6027,-189.849,-99.3833
IRON_HYST,50,0.25,-30,0.0239769,-169.898,-72.4457,-190.616,-96.2355
IRON_HYST,50,0.25,-24,0.0368439,-169.985,-68.7088,-190.282,-94.6776
IRON_HYST,50,0.25,-18,0.0503396,-169.889,-66.063,-191.14,-82.9567
IRON_HYST,50,0.25,-12,0.0694921,-169.955,-63.4107,-191.725,-75.975
IRON_HYST,50,0.25,-6,0.15086,-170.045,-56.7022,-189.321,-69.2323
IRON_HYST,50,0.25,0,0.721059,-170.154,-42.8815,-187.952,-67.088
IRON_HYST,50,0.5,-40,0.0248223,-170.04,-72.1678,-189.69,-91.8422
IRON_HYST,50,0.5,-30,0.0587757,-170.193,-64.6505,-190.998,-91.4392
IRON_HYST,50,0.5,-24,0.0847005,-169.789,-61.4983,-189.637,-82.4046
IRON_HYST,50,0.5,-18,0.112788,-170.006,-59.132,-187.998,-73.1241
IRON_HYST,50,0.5,-12,0.179197,-169.969,-55.2251,-190.578,-67.4422
IRON_HYST,50,0.5,-6,0.779268,-170.168,-42.2783,-189.648,-58.1722
IRON_HYST,50,0.5,0,1.608,-169.98,-36.2194,-189.564,-47.2281
IRON_HYST,50,0.75,-40,0.0447277,-169.999,-67.0456,-189.531,-87.6646
IRON_HYST,50,0.75,-30,0.099303,-170.508,-60.0955,-186.932,-86.799
IRON_HYST,50,0.75,-24,0.137048,-170.27,-57.3515,-186.431,-75.0017
IRON_HYST,50,0.75,-18,0.186419,-169.982,-54.8259,-189.717,-67.5942
IRON_HYST,50,0.75,-12,0.368859,-170.104,-48.9493,-190.349,-61.3451
IRON_HYST,50,0.75,-6,1.88255,-170.225,-34.5303,-183.639,-72.424
IRON_HYST,50,0.75,0,2.23825,-170.096,-33.6977,-191.381,-41.8351
IRON_HYST,50,1,-40,0.0678701,-169.959,-63.4173,-189.373,-85.0336
IRON_HYST,50,1,-30,0.142427,-169.717,-56.969,-189.454,-81.0878
IRON_HYST,50,1,-24,0.19163,-169.905,-54.4783,-189.295,-70.0993
IRON_HYST,50,1,-18,0.274693,-169.8,-51.4938,-190.877,-63.8108
IRON_HYST,50,1,-12,0.754564,-169.755,-42.6741,-188.569,-55.7234
IRON_HYST,50,1,-6,2.88233,-170.573,-30.924,-185.217,-47.1562
IRON_HYST,50,1,0,2.66384,-169.974,-32.4851,-191.55,-39.3648
IRON_HYST,1000,0.25,-40,2.70104e-05,-191.005,-131.471,-181.596,-148.215
IRON_HYST,1000,0.25,-30,8.55366e-05,-189.537,-121.45,-181.848,-138.74
IRON_HYST,1000,0.25,-24,0.000166957,-196.086,-115.644,-181.259,-132.799
IRON_HYST,1000,0.25,-18,0.000321064,-182.752,-109.957,-186.877,-127.589
IRON_HYST,1000,0.25,-12,0.00059966,-188.672,-104.516,-187.64,-123.305
IRON_HYST,1000,0.25,-6,0.00105748,-185.981,-99.5675,-183.618,-120.96
IRON_HYST,1000,0.25,0,0.00170025,-190.481,-95.4252,-195.835,-122.115
IRON_HYST,1000,0.5,-40,7.75374e-05,-176.198,-122.315,-179.182,-138.915
IRON_HYST,1000,0.5,-30,0.000239886,-193.024,-112.503,-180.527,-129.281
IRON_HYST,1000,0.5,-24,0.000468138,-179.961,-106.685,-183.657,-124.014
IRON_HYST,1000,0.5,-18,0.000889986,-185.064,-101.094,-179.561,-119.231
IRON_HYST,1000,0.5,-12,0.00162023,-184.13,-95.8716,-195.502,-115.755
IRON_HYST,1000,0.5,-6,0.00273673,-185.86,-91.2968,-188.579,-115.273
IRON_HYST,1000,0.5,0,0.0041399,-190.023,-87.6999,-183.272,-112.383
IRON_HYST,1000,0.75,-40,0.000150165,-185.683,-116.581,-187.541,-132.942
IRON_HYST,1000,0.75,-30,0.00046479,-180.565,-106.753,-188.948,-123.797
IRON_HYST,1000,0.75,-24,0.000898245,-187.901,-101.021,-202.212,-118.576
IRON_HYST,1000,0.75,-18,0.00168444,-178.935,-95.5461,-179.343,-114.186
IRON_HYST,1000,0.75,-12,0.00299365,-195.713,-90.5304,-183.111,-111.589
IRON_HYST,1000,0.75,-6,0.00486793,-189.801,-86.2887,-187.672,-112.557
IRON_HYST,1000,0.75,0,0.00702989,-182.735,-83.1175,-187.125,-103.965
IRON_HYST,1000,1,-40,0.000245375,-186.956,-112.304,-184.691,-129.109
IRON_HYST,1000,1,-30,0.000755819,-182.892,-102.527,-189.731,-119.697
IRON_HYST,1000,1,-24,0.00145084,-202.55,-96.853,-184.84,-114.67
IRON_HYST,1000,1,-18,0.00268525,-179.291,-91.4896,-186.677,-110.668
IRON_HYST,1000,1,-12,0.00466496,-182.838,-86.6705,-181.48,-108.977
IRON_HYST,1000,1,-6,0.00733341,-190.573,-82.7283,-183.528,-109.588
IRON_HYST,1000,1,0,0.0102406,-182.198,-79.8752,-192.411,-98.0422
